Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,34.4,32.6,36.1,32.6 - 36.1
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,34.1,32.1,36.2,32.1 - 36.2
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.0,29.0,33.1,29.0 - 33.1
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.9,23.6,26.3,23.6 - 26.3
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.4,14.8,18.1,14.8 - 18.1
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,14.6,11.5,18.2,11.5 - 18.2
Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.1,24.7,27.5,24.7 - 27.5
Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,35.4,34.5,36.3,34.5 - 36.3
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,36.3,33.4,39.2,33.4 - 39.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.0,28.2,29.9,28.2 - 29.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.8,30.3,35.5,30.3 - 35.5
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.3,23.6,29.1,23.6 - 29.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,38.2,34.3,42.3,34.3 - 42.3
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,37.3,32.4,42.4,32.4 - 42.4
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.6,29.0,32.3,29.0 - 32.3
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,33.5,32.0,35.1,32.0 - 35.1
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.0,26.3,27.8,26.3 - 27.8
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,35.9,35.0,36.8,35.0 - 36.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,46.8,44.3,49.3,44.3 - 49.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,39.6,37.7,41.5,37.7 - 41.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,38.9,37.2,40.7,37.2 - 40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,35.8,34.0,37.7,34.0 - 37.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.9,27.6,30.3,27.6 - 30.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.5,19.3,23.7,19.3 - 23.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.1,15.6,27.5,15.6 - 27.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.0,29.6,32.3,29.6 - 32.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,40.7,39.7,41.6,39.7 - 41.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,42.7,39.7,45.7,39.7 - 45.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,33.6,32.7,34.4,32.7 - 34.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,38.9,36.4,41.4,36.4 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.9,28.5,35.4,28.5 - 35.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,43.9,39.8,48.1,39.8 - 48.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,45.4,40.3,50.5,40.3 - 50.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,36.7,35.2,38.2,35.2 - 38.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,38.5,36.9,40.0,36.9 - 40.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.7,29.8,31.5,29.8 - 31.5
Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,24.1,23.0,25.2,23.0 - 25.2
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.2,32.2,40.2,32.2 - 40.2
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.7,25.7,29.8,25.7 - 29.8
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.5,23.1,28.0,23.1 - 28.0
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,24.1,22.0,26.2,22.0 - 26.2
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,17.6,15.7,19.6,15.7 - 19.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,12.2,10.4,14.2,10.4 - 14.2
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,9.1,6.9,11.6,6.9 - 11.6
Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,22.3,20.6,24.0,20.6 - 24.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.8,24.7,27.0,24.7 - 27.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.9,24.4,31.6,24.4 - 31.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,22.5,21.6,23.4,21.6 - 23.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.7,23.8,31.9,23.8 - 31.9
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,19.5,15.4,24.3,15.4 - 24.3
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,33.0,28.6,37.7,28.6 - 37.7
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.4,25.9,37.3,25.9 - 37.3
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.1,24.9,29.4,24.9 - 29.4
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.5,25.0,28.1,25.0 - 28.1
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,17.2,16.0,18.3,16.0 - 18.3
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,30.0,28.9,31.0,28.9 - 31.0
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,42.0,38.3,45.7,38.3 - 45.7
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,34.3,32.6,36.1,32.6 - 36.1
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.9,29.3,34.6,29.3 - 34.6
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.3,29.0,33.7,29.0 - 33.7
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,22.0,19.8,24.3,19.8 - 24.3
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,16.4,14.5,18.5,14.5 - 18.5
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,11.0,8.2,14.3,8.2 - 14.3
Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.7,24.9,28.5,24.9 - 28.5
Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,33.1,32.0,34.2,32.0 - 34.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.2,32.6,39.9,32.6 - 39.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.8,26.8,28.7,26.8 - 28.7
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,33.0,29.3,37.0,29.3 - 37.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.3,22.3,30.7,22.3 - 30.7
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,38.9,34.1,43.9,34.1 - 43.9
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.6,30.2,43.4,30.2 - 43.4
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,32.8,30.4,35.3,30.4 - 35.3
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.5,29.7,33.3,29.7 - 33.3
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,24.2,23.1,25.4,23.1 - 25.4
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,34.4,33.3,35.5,33.3 - 35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,47.4,43.4,51.3,43.4 - 51.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,39.3,37.4,41.2,37.4 - 41.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.9,34.1,39.7,34.1 - 39.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,35.5,33.0,37.9,33.0 - 37.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.5,23.2,27.9,23.2 - 27.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,19.8,17.7,22.0,17.7 - 22.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,13.9,10.9,17.3,10.9 - 17.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.4,29.5,33.3,29.5 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,37.2,36.2,38.3,36.2 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,40.3,36.6,44.0,36.6 - 44.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,32.0,31.1,32.9,31.1 - 32.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,38.8,34.2,43.5,34.2 - 43.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.9,25.7,34.4,25.7 - 34.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,45.9,41.1,50.7,41.1 - 50.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,42.5,36.2,48.9,36.2 - 48.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,37.8,35.3,40.4,35.3 - 40.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.2,34.6,37.9,34.6 - 37.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.5,26.3,28.7,26.3 - 28.7
Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.4,23.7,25.2,23.7 - 25.2
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,36.7,34.2,39.1,34.2 - 39.1
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.7,25.0,28.5,25.0 - 28.5
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,25.0,23.3,26.7,23.3 - 26.7
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.6,22.9,26.4,22.9 - 26.4
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,18.0,16.3,19.6,16.3 - 19.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,12.3,10.4,14.5,10.4 - 14.5
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,14.4,10.9,18.6,10.9 - 18.6
Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,22.1,21.0,23.3,21.0 - 23.3
Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.7,25.8,27.6,25.8 - 27.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.9,26.5,31.4,26.5 - 31.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,22.7,22.0,23.5,22.0 - 23.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.5,26.5,30.6,26.5 - 30.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,20.9,17.8,24.2,17.8 - 24.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.1,23.9,30.6,23.9 - 30.6
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,31.3,27.2,35.8,27.2 - 35.8
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.8,26.1,29.5,26.1 - 29.5
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.8,25.3,28.4,25.3 - 28.4
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,17.3,16.3,18.3,16.3 - 18.3
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.2,27.6,28.9,27.6 - 28.9
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,38.6,36.2,41.1,36.2 - 41.1
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,32.2,30.3,34.1,30.3 - 34.1
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,30.7,28.9,32.5,28.9 - 32.5
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.4,26.6,30.3,26.6 - 30.3
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,22.3,20.7,24.0,20.7 - 24.0
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,13.4,12.0,15.0,12.0 - 15.0
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,11.8,8.8,15.3,8.8 - 15.3
Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.2,23.2,25.2,23.2 - 25.2
Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,32.1,31.0,33.1,31.0 - 33.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,33.6,31.1,36.2,31.1 - 36.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.3,25.4,27.2,25.4 - 27.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,32.7,30.7,34.7,30.7 - 34.7
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,23.4,20.9,26.2,20.9 - 26.2
